ID,localidad,TPC,Tpriv,Tinf,Bic,Cami,Trans,cocat,modes
ID03110460120587,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110460180588,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110460331579,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03110460420589,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110480030590,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110480121580,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03110480291586,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03110480391581,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03120020190913,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03120020220904,San Cristóbal,,Private transport,,,Walk,,Private transport-Walk,Private Transport
ID03120020240890,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03120020370916,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03120090091965,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03120130270907,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03120130340910,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03120130370914,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03120130470915,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03120180031966,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03120180061967,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03120180151968,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03120180191970,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03120180211969,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03120240031622,San Cristóbal,,,,,,,,888
ID03120240160905,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03120240200908,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03120240230909,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03130060010895,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03130060100896,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03130060160897,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03130060250898,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03130060290899,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03130070060900,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03130070210901,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03130070230902,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03130070280903,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03130090031605,San Cristóbal,,,,,,,,888
ID03130090301606,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03130090331607,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03130090391608,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03130100030618,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03130100070615,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03130100210619,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03130100240631,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03130100820620,San Cristóbal,,,,,,,,888
ID03130140121614,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03130140271621,San Cristóbal,,,,,,,,888
ID03130140571615,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03130140690917,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03130140760918,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03130150040625,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03130150130621,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03130150450622,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03130150570623,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03130150690624,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03130160091616,San Cristóbal,,Private transport,,,Walk,,Private transport-Walk,Private Transport
ID03130160331620,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03130170090626,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03130170180628,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03130170610629,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03130290131610,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03130290391612,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03130370330892,San Cristóbal,Public transport,Private transport,,,,,Public transport-Private transport,Public-Private
ID03130370420893,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03130370440894,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03130370780912,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140010090785,San Cristóbal,Public transport,,,,,Transmicable,Public transport-Transmicable,TransMicable
ID03140010271535,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03140010301542,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140030150534,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140030210533,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140030240528,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140030270527,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140030300531,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03140050060529,San Cristóbal,Public transport,Private transport,,,Walk,,Public transport-Private transport-Walk,Public-Private
ID03140050090541,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140050120530,San Cristóbal,,,,Bycicle,,,Bycicle,Active Transport
ID03140050271532,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140050330782,San Cristóbal,,Private transport,,,Walk,,Private transport-Walk,Private Transport
ID03140060090778,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03140060390779,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140060490780,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140060530781,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140060561531,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140170151533,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03140170330784,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140170390532,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140170420783,San Cristóbal,,,,,,,,888
ID03140170561534,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140180240535,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140180420542,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140180450792,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03140240151536,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140240180787,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03140290060389,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140290120386,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140290180388,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03140370060788,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140370181538,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140370300536,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140370331537,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03140370360537,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03140510121529,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03140510150791,San Cristóbal,,,,,,,,888
ID03140510390540,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03140510411543,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03140510421541,San Cristóbal,Public transport,Private transport,,,Walk,,Public transport-Private transport-Walk,Public-Private
ID03150010030806,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150010061549,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150010090548,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150010180793,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03150010210796,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150010271555,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150010301544,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150010330543,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150010360556,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150020120545,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150020271545,San Cristóbal,Public transport,Private transport,,,Walk,,Public transport-Private transport-Walk,Public-Private
ID03150020360794,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150020391548,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150040031790,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150040061793,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150040091795,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150040151794,San Cristóbal,,,,Bycicle,,,Bycicle,Active Transport
ID03150040301791,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150040331792,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150070060789,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150070090538,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150070121546,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150070150799,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03150070391540,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03150070450790,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150080150798,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150080360797,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03150080511547,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150120060358,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150120150359,San Cristóbal,,,,,,,,888
ID03150120180360,San Cristóbal,Public transport,Private transport,,,Walk,,Public transport-Private transport-Walk,Public-Private
ID03150120210365,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150120240364,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03150130241776,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03150130451777,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03150140031806,San Cristóbal,Public transport,,Informal transport,,,,Public transport-Informal transport,Public-Informal
ID03150140051811,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150140061807,San Cristóbal,Public transport,,,,Walk,Transmicable,Public transport-Walk-Transmicable,TransMicable
ID03150140141809,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150140301810,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150150061797,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150150181798,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150150241799,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150150331800,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150160060288,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150160090291,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150160210293,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150160240290,San Cristóbal,Public transport,,,Bycicle,Walk,,Public transport-Bycicle-Walk,Public transport
ID03150160330292,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150180031781,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150180061782,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150180481774,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150180511775,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150200061803,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150200131801,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03150200151802,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03150200211805,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150210090294,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150210240279,San Cristóbal,,Private transport,,,Walk,,Private transport-Walk,Private Transport
ID03150210270295,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03150220180284,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150220210285,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03150220240286,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150220420287,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03150240030800,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150240061551,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150240090549,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150240120550,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150240240555,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03150240330801,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150240361550,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150240390805,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150260180277,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150260300282,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150260330308,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03150260390278,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150260480298,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03150300030299,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03150300180281,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150300270289,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150300300296,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150310061770,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150310091771,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150310351773,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150340030302,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150340210309,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150340420306,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150340480305,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03150360271780,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150360301779,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150770091552,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03150770150551,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03150770210802,San Cristóbal,Public transport,Private transport,,,,,Public transport-Private transport,Public-Private
ID03150770270552,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150770330804,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03150770360553,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150770390803,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150770411553,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150770660554,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03150770721554,San Cristóbal,,,,Bycicle,,,Bycicle,Active Transport
ID03150980150300,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150980210301,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03150980240400,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03150980300304,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03150980360303,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160010040520,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03160010060271,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160010060771,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160050030777,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03160050051758,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160050061521,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03160050061528,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03160050080272,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03160060020258,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03160060020270,San Cristóbal,,Private transport,,,Walk,,Private transport-Walk,Private Transport
ID03160060050260,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160060050262,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03160110010510,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03160110021520,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160110060770,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160110070509,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160110070519,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160490021764,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03160490031522,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160490051523,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03160490090772,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03160490120325,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03160490180326,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160490270327,San Cristóbal,Public transport,Private transport,,,Walk,,Public transport-Private transport-Walk,Public-Private
ID03160490330332,San Cristóbal,,Private transport,,,Walk,,Private transport-Walk,Private Transport
ID03160490360333,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160510060367,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160510090369,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03160510270370,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03160510390372,San Cristóbal,Public transport,Private transport,,,,,Public transport-Private transport,Public-Private
ID03160610060759,San Cristóbal,,,Informal transport,,,,Informal transport,Informal transport
ID03160610090317,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03160610180319,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03160610210320,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160610240321,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160620010760,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03160620010761,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03160620010763,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03160620030776,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160620090512,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03160630011761,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160630011762,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160630030329,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03160630031767,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160630041759,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160690041510,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160690041512,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160690071508,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03160690081509,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03160690091527,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03170010051765,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03170010060322,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03170010090507,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03170020070522,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03170020080773,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03170020081524,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03170040060316,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03170040120315,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03170050030310,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03170050050256,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03170050090255,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03170060030311,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03170060090312,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03170070030313,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03170070060314,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03170140060323,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03170140150324,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03170150020758,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03170150040757,San Cristóbal,,Private transport,,,Walk,,Private transport-Walk,Private Transport
ID03170150070508,San Cristóbal,,Private transport,,,Walk,,Private transport-Walk,Private Transport
ID03170160011757,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03170160040257,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03170170021507,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03170170050521,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03180010041505,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03180010070754,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03180010071501,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03180120031816,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03180120121818,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03180130040253,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03180130051754,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03180130071751,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03180140020753,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03180140050504,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03180140091828,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03180140151829,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03180170181813,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03180190031820,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03180190051504,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03180190061821,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03180190091822,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03180210081752,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03180210121827,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03180220020755,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03180220091823,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03180220121824,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03180220181825,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03180570041815,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03180570061814,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03190050060344,San Cristóbal,Public transport,,,,Walk,Transmicable,Public transport-Walk-Transmicable,TransMicable
ID03190050090374,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03190050150347,San Cristóbal,,,,Bycicle,Walk,,Bycicle-Walk,Active Transport
ID03190050270384,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03190060150342,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03190060180336,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03190060330355,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03190160041843,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03190160121844,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03190160151845,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03190160211846,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03190170080813,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03190170100815,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03190170200812,San Cristóbal,,,Informal transport,,,,Informal transport,Informal transport
ID03190170660850,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03190260010821,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03190260240822,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03190260300823,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03190260310826,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03190260440824,San Cristóbal,,,,,,,,888
ID03190270030825,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03190270031868,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03190270121869,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03190280121864,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03190280221866,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03190280271867,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03190330120383,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03190330300390,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03190330330380,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03190380060348,San Cristóbal,Public transport,Private transport,,,Walk,,Public transport-Private transport-Walk,Public-Private
ID03190380090350,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03190380180351,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03190380210352,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03190490031856,San Cristóbal,,Private transport,,,,,Private transport,Private Transport
ID03190490061857,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03190490101858,San Cristóbal,Public transport,,,,,,Public transport,Public transport
ID03190490151860,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03190520030354,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03190520210366,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03190550061852,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03190550121854,San Cristóbal,,Private transport,,,Walk,,Private transport-Walk,Private Transport
ID03190550211855,San Cristóbal,,,,,Walk,,Walk,Active Transport
ID03190580121850,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
ID03190580151847,San Cristóbal,Public transport,,,,Walk,,Public transport-Walk,Public transport
