"","ID","localidad","TPC","Tpriv","Tinf","Bic","Cami","Trans","cocat","modes"
"232","ID03150010330543","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"233","ID03150010360556","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"234","ID03150020120545","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"235","ID03150020271545","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"236","ID03150020360794","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"237","ID03150040031790","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"238","ID03150040061793","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"239","ID03150040091795","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"240","ID03150040151794","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"241","ID03150040301791","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"242","ID03150040331792","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"243","ID03150070060789","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"244","ID03150070090538","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"245","ID03150070121546","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"246","ID03150070391540","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"247","ID03150070450790","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"248","ID03150080150798","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"249","ID03150080360797","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"250","ID03150080511547","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"251","ID03150120060358","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"252","ID03150120150359","San Cristóbal","","","","","","","","888"
"253","ID03150120180360","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"254","ID03150120210365","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"255","ID03150120240364","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"256","ID03150130241776","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"257","ID03150130451777","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"258","ID03150140031806","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"259","ID03150140051811","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"260","ID03150140061807","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"261","ID03150140141809","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"262","ID03150140301810","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"263","ID03150150061797","San Cristóbal","","","","","","","","888"
"264","ID03150150181798","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"265","ID03150150241799","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"266","ID03150150331800","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"267","ID03150160060288","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"268","ID03150160210293","San Cristóbal","","","","","Walk","","Walk","Active Transport"
"269","ID03150160240290","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"270","ID03150180031781","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"271","ID03150180061782","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"272","ID03150180511775","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"273","ID03150200061803","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"274","ID03150200131801","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"275","ID03150200211805","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"276","ID03150210090294","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"277","ID03150210240279","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"278","ID03150210270295","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"279","ID03150220180284","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"280","ID03150220210285","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"281","ID03150220240286","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"282","ID03150220420287","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"283","ID03150240030800","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"284","ID03150240061551","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"285","ID03150240090549","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"286","ID03150240120550","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"287","ID03150240240555","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"288","ID03150240330801","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"289","ID03150240361550","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"290","ID03150240390805","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"291","ID03150260180277","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"292","ID03150260300282","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"293","ID03150260330308","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"294","ID03150260390278","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"295","ID03150300030299","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"296","ID03150300180281","San Cristóbal","","","","","","","","888"
"297","ID03150300270289","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"298","ID03150300300296","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"299","ID03150310061770","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"300","ID03150310351773","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"301","ID03150340210309","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"302","ID03150340420306","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"303","ID03150340480305","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"304","ID03150360271780","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"305","ID03150360301779","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"306","ID03150770150551","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"307","ID03150770210802","San Cristóbal","Public transport","","","","Walk","","Public transport-Walk","Public transport"
"308","ID03150770270552","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"309","ID03150770330804","San Cristóbal","","","","","","","","888"
"310","ID03150770360553","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"311","ID03150770390803","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"312","ID03150770660554","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"313","ID03150770721554","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"314","ID03150980150300","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"315","ID03150980210301","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"316","ID03150980300304","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"317","ID03160010040520","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"318","ID03160010060771","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"319","ID03160050030777","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"320","ID03160050051758","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"321","ID03160050061521","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"322","ID03160050061528","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"323","ID03160050080272","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"324","ID03160060020258","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"325","ID03160060020270","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"326","ID03160060050260","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"327","ID03160060050262","San Cristóbal","","Private transport","","Bycicle","","","Private transport-Bycicle","Private Transport"
"328","ID03160110010510","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"329","ID03160110021520","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"330","ID03160110060770","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"331","ID03160110070519","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"332","ID03160490021764","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"333","ID03160490031522","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"334","ID03160490051523","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"335","ID03160490090772","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"336","ID03160490120325","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"337","ID03160490180326","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"338","ID03160490270327","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"339","ID03160490330332","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"340","ID03160490360333","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"341","ID03160510060367","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"342","ID03160510090369","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"343","ID03160510270370","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"344","ID03160510390372","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"345","ID03160610060759","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"346","ID03160610090317","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"347","ID03160610180319","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"348","ID03160610210320","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"349","ID03160610240321","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"350","ID03160620010760","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"351","ID03160620010761","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"352","ID03160620010763","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"353","ID03160620030776","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"354","ID03160620090512","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"355","ID03160630011761","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"356","ID03160630011762","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"357","ID03160630030329","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"358","ID03160630031767","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"359","ID03160630041759","San Cristóbal","","","","","","","","888"
"360","ID03160690041510","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"361","ID03160690041512","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"362","ID03160690071508","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"363","ID03160690091527","San Cristóbal","Public transport","","","Bycicle","","","Public transport-Bycicle","Public transport"
"364","ID03170010051765","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"365","ID03170010060322","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"366","ID03170010090507","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"367","ID03170020070522","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"368","ID03170020080773","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"369","ID03170020081524","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"370","ID03170040060316","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"371","ID03170040120315","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"372","ID03170050030310","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"373","ID03170050090255","San Cristóbal","","Private transport","","","","","Private transport","Private Transport"
"374","ID03170060030311","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"375","ID03170060090312","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"376","ID03170070030313","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"377","ID03170140060323","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"378","ID03170140150324","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"379","ID03170150020758","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"380","ID03170150040757","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"381","ID03170150070508","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
"382","ID03170160011757","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"383","ID03170170021507","San Cristóbal","","","","Bycicle","","","Bycicle","Active Transport"
"384","ID03170170050521","San Cristóbal","Public transport","","","","","","Public transport","Public transport"
